"DataSet","Rep","Fold","PT","Pos_tst"
"Disease_AL",1,1,1,17
"Disease_AL",1,1,1,30
"Disease_AL",1,1,1,33
"Disease_AL",1,1,1,34
"Disease_AL",1,1,1,39
"Disease_AL",1,1,1,41
"Disease_AL",1,1,1,46
"Disease_AL",1,1,1,51
"Disease_AL",1,1,1,54
"Disease_AL",1,1,1,66
"Disease_AL",1,1,1,75
"Disease_AL",1,1,1,81
"Disease_AL",1,1,1,111
"Disease_AL",1,1,1,117
"Disease_AL",1,1,1,118
"Disease_AL",1,1,1,150
"Disease_AL",1,1,1,152
"Disease_AL",1,1,1,156
"Disease_AL",1,1,1,177
"Disease_AL",1,1,1,178
"Disease_AL",1,1,1,188
"Disease_AL",1,1,1,208
"Disease_AL",1,1,1,210
"Disease_AL",1,1,1,212
"Disease_AL",1,1,1,216
"Disease_AL",1,1,1,226
"Disease_AL",1,1,1,237
"Disease_AL",1,1,1,242
"Disease_AL",1,1,1,264
"Disease_AL",1,1,1,297
"Disease_AL",1,1,1,300
"Disease_AL",1,1,1,307
"Disease_AL",1,1,1,320
"Disease_AL",1,1,1,326
"Disease_AL",1,1,1,335
"Disease_AL",1,1,1,350
"Disease_AL",1,1,1,351
"Disease_AL",1,1,1,354
"Disease_AL",1,1,1,361
"Disease_AL",1,1,1,364
"Disease_AL",1,1,1,395
"Disease_AL",1,1,1,415
"Disease_AL",1,1,1,419
"Disease_AL",1,1,1,426
"Disease_AL",1,2,2,9
"Disease_AL",1,2,2,15
"Disease_AL",1,2,2,37
"Disease_AL",1,2,2,53
"Disease_AL",1,2,2,73
"Disease_AL",1,2,2,94
"Disease_AL",1,2,2,98
"Disease_AL",1,2,2,108
"Disease_AL",1,2,2,120
"Disease_AL",1,2,2,125
"Disease_AL",1,2,2,126
"Disease_AL",1,2,2,130
"Disease_AL",1,2,2,141
"Disease_AL",1,2,2,143
"Disease_AL",1,2,2,146
"Disease_AL",1,2,2,155
"Disease_AL",1,2,2,186
"Disease_AL",1,2,2,187
"Disease_AL",1,2,2,191
"Disease_AL",1,2,2,207
"Disease_AL",1,2,2,213
"Disease_AL",1,2,2,222
"Disease_AL",1,2,2,232
"Disease_AL",1,2,2,253
"Disease_AL",1,2,2,257
"Disease_AL",1,2,2,275
"Disease_AL",1,2,2,277
"Disease_AL",1,2,2,281
"Disease_AL",1,2,2,293
"Disease_AL",1,2,2,332
"Disease_AL",1,2,2,340
"Disease_AL",1,2,2,343
"Disease_AL",1,2,2,347
"Disease_AL",1,2,2,359
"Disease_AL",1,2,2,366
"Disease_AL",1,2,2,367
"Disease_AL",1,2,2,385
"Disease_AL",1,2,2,386
"Disease_AL",1,2,2,392
"Disease_AL",1,2,2,394
"Disease_AL",1,2,2,399
"Disease_AL",1,2,2,400
"Disease_AL",1,2,2,416
"Disease_AL",1,2,2,424
"Disease_AL",1,3,3,3
"Disease_AL",1,3,3,18
"Disease_AL",1,3,3,25
"Disease_AL",1,3,3,31
"Disease_AL",1,3,3,38
"Disease_AL",1,3,3,52
"Disease_AL",1,3,3,59
"Disease_AL",1,3,3,64
"Disease_AL",1,3,3,72
"Disease_AL",1,3,3,79
"Disease_AL",1,3,3,85
"Disease_AL",1,3,3,90
"Disease_AL",1,3,3,93
"Disease_AL",1,3,3,122
"Disease_AL",1,3,3,145
"Disease_AL",1,3,3,148
"Disease_AL",1,3,3,159
"Disease_AL",1,3,3,160
"Disease_AL",1,3,3,168
"Disease_AL",1,3,3,175
"Disease_AL",1,3,3,182
"Disease_AL",1,3,3,189
"Disease_AL",1,3,3,202
"Disease_AL",1,3,3,203
"Disease_AL",1,3,3,215
"Disease_AL",1,3,3,217
"Disease_AL",1,3,3,218
"Disease_AL",1,3,3,254
"Disease_AL",1,3,3,261
"Disease_AL",1,3,3,266
"Disease_AL",1,3,3,287
"Disease_AL",1,3,3,289
"Disease_AL",1,3,3,298
"Disease_AL",1,3,3,304
"Disease_AL",1,3,3,310
"Disease_AL",1,3,3,324
"Disease_AL",1,3,3,327
"Disease_AL",1,3,3,338
"Disease_AL",1,3,3,344
"Disease_AL",1,3,3,360
"Disease_AL",1,3,3,380
"Disease_AL",1,3,3,387
"Disease_AL",1,3,3,396
"Disease_AL",1,3,3,423
"Disease_AL",1,4,4,2
"Disease_AL",1,4,4,21
"Disease_AL",1,4,4,40
"Disease_AL",1,4,4,50
"Disease_AL",1,4,4,76
"Disease_AL",1,4,4,83
"Disease_AL",1,4,4,86
"Disease_AL",1,4,4,101
"Disease_AL",1,4,4,105
"Disease_AL",1,4,4,107
"Disease_AL",1,4,4,116
"Disease_AL",1,4,4,137
"Disease_AL",1,4,4,153
"Disease_AL",1,4,4,161
"Disease_AL",1,4,4,167
"Disease_AL",1,4,4,176
"Disease_AL",1,4,4,194
"Disease_AL",1,4,4,196
"Disease_AL",1,4,4,214
"Disease_AL",1,4,4,223
"Disease_AL",1,4,4,228
"Disease_AL",1,4,4,268
"Disease_AL",1,4,4,270
"Disease_AL",1,4,4,276
"Disease_AL",1,4,4,284
"Disease_AL",1,4,4,290
"Disease_AL",1,4,4,305
"Disease_AL",1,4,4,315
"Disease_AL",1,4,4,329
"Disease_AL",1,4,4,334
"Disease_AL",1,4,4,352
"Disease_AL",1,4,4,353
"Disease_AL",1,4,4,362
"Disease_AL",1,4,4,365
"Disease_AL",1,4,4,370
"Disease_AL",1,4,4,377
"Disease_AL",1,4,4,389
"Disease_AL",1,4,4,401
"Disease_AL",1,4,4,403
"Disease_AL",1,4,4,409
"Disease_AL",1,4,4,411
"Disease_AL",1,4,4,429
"Disease_AL",1,4,4,434
"Disease_AL",1,5,5,7
"Disease_AL",1,5,5,16
"Disease_AL",1,5,5,19
"Disease_AL",1,5,5,44
"Disease_AL",1,5,5,55
"Disease_AL",1,5,5,57
"Disease_AL",1,5,5,69
"Disease_AL",1,5,5,109
"Disease_AL",1,5,5,112
"Disease_AL",1,5,5,113
"Disease_AL",1,5,5,136
"Disease_AL",1,5,5,147
"Disease_AL",1,5,5,149
"Disease_AL",1,5,5,163
"Disease_AL",1,5,5,174
"Disease_AL",1,5,5,199
"Disease_AL",1,5,5,200
"Disease_AL",1,5,5,211
"Disease_AL",1,5,5,236
"Disease_AL",1,5,5,258
"Disease_AL",1,5,5,259
"Disease_AL",1,5,5,262
"Disease_AL",1,5,5,269
"Disease_AL",1,5,5,279
"Disease_AL",1,5,5,291
"Disease_AL",1,5,5,301
"Disease_AL",1,5,5,317
"Disease_AL",1,5,5,319
"Disease_AL",1,5,5,323
"Disease_AL",1,5,5,368
"Disease_AL",1,5,5,378
"Disease_AL",1,5,5,388
"Disease_AL",1,5,5,393
"Disease_AL",1,5,5,397
"Disease_AL",1,5,5,402
"Disease_AL",1,5,5,404
"Disease_AL",1,5,5,407
"Disease_AL",1,5,5,410
"Disease_AL",1,5,5,413
"Disease_AL",1,5,5,425
"Disease_AL",1,5,5,430
"Disease_AL",1,5,5,431
"Disease_AL",1,5,5,432
"Disease_AL",1,5,5,438
"Disease_AL",1,6,6,13
"Disease_AL",1,6,6,43
"Disease_AL",1,6,6,56
"Disease_AL",1,6,6,61
"Disease_AL",1,6,6,77
"Disease_AL",1,6,6,78
"Disease_AL",1,6,6,95
"Disease_AL",1,6,6,115
"Disease_AL",1,6,6,123
"Disease_AL",1,6,6,131
"Disease_AL",1,6,6,132
"Disease_AL",1,6,6,134
"Disease_AL",1,6,6,135
"Disease_AL",1,6,6,154
"Disease_AL",1,6,6,164
"Disease_AL",1,6,6,166
"Disease_AL",1,6,6,204
"Disease_AL",1,6,6,205
"Disease_AL",1,6,6,209
"Disease_AL",1,6,6,221
"Disease_AL",1,6,6,227
"Disease_AL",1,6,6,238
"Disease_AL",1,6,6,246
"Disease_AL",1,6,6,255
"Disease_AL",1,6,6,256
"Disease_AL",1,6,6,265
"Disease_AL",1,6,6,274
"Disease_AL",1,6,6,280
"Disease_AL",1,6,6,283
"Disease_AL",1,6,6,294
